SimTime,ChassisX,ChassisY,ChassisZ,EyepointX,EyepointY,EyepointZ,ChassisRotX,ChassisRotY,ChassisRotZ,AngVelX,AngVelY,AngVelZ,ChassisVelX,ChassisVelY,ChassisVelZ,EyepointVelX,EyepointVelY,EyepointVelZ,AccLocX,AccLocY,AccLocZ,EyeAccX,EyeAccY,EyeAccZ,WheelRFPosX,WheelRFPosY,WheelLFPosX,WheelLFPosY,WheelRRPosX,WheelRRPosY,WheelLRPosX,WheelLRPosY,LFOmega,RFOmega,LROmega,RROmega
0,-86.64698,-7.972441,-98.39239,-7.972441,-86.64698,98.39239,1.893342E-05,-3001.153,3.849475E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.796464,-7.100849E-08,-3.696443,0,0,0,0,0,0,0,0,0,0,0,0
0,-86.64698,-7.972441,-98.39239,-7.972441,-86.64698,98.39239,1.893342E-05,-3001.153,3.849475E-05,0,0,0,0,0,0,0,0,0,0,0,0,4.796464,-7.100849E-08,-3.696443,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-86.64692,-7.973636,-98.39278,-7.973636,-86.64692,98.39278,0.09478455,-3002.088,-0.03260615,0.003898188,0.004873324,-0.06203331,0.09670673,-0.3516235,-0.2016164,0.03130103,-0.1175249,-0.1890194,-2.188744,6.398403,-17.68851,0.1480747,44.93221,-15.21574,0,0,0,0,0,0,0,0,0,0,0,0
0.013,-86.64726,-7.97719,-98.39375,-7.97719,-86.64726,98.39375,0.6787328,-3003.169,0.01741792,0.003050527,0.01111384,-0.04581829,-0.092382,-0.4760941,-0.1147118,-0.01390846,-0.1999876,-0.1885354,-1.53663,5.395073,-13.828,0.5467712,34.1229,-12.38485,0,0,0,0,0,0,0,0,0,0,0,0
0.01999999,-86.64792,-7.980483,-98.39461,-7.980483,-86.64792,98.39461,1.432667,-3003.167,0.02645374,0.002451069,0.01586626,-0.03654387,-0.09690542,-0.4600948,-0.1250786,-0.04415558,-0.2451479,-0.1934529,-1.094447,4.38954,-10.21036,1.200616,27.34667,-10.45941,0,0,0,0,0,0,0,0,0,0,0,0
0.01999999,-86.64792,-7.980483,-98.39461,-7.980483,-86.64792,98.39461,1.432667,-3003.167,0.02645374,0.002051431,0.01903454,-0.03036093,-0.09690542,-0.4600948,-0.1250786,-0.06432032,-0.2752548,-0.1967313,-0.7996585,3.719185,-7.798593,1.636512,22.82919,-9.175791,0,0,0,0,0,0,0,0,0,0,0,0
0.01999999,-86.64792,-7.980483,-98.39461,-7.980483,-86.64792,98.39461,1.432667,-3003.167,0.02645374,0.001765974,0.0212976,-0.02594454,-0.09690542,-0.4600948,-0.1250786,-0.07872371,-0.2967598,-0.199073,-0.5890953,3.240359,-6.075905,1.947867,19.60241,-8.258917,0,0,0,0,0,0,0,0,0,0,0,0
0.01999999,-86.64792,-7.980483,-98.39461,-7.980483,-86.64792,98.39461,1.432667,-3003.167,0.02645374,0.001551882,0.02299489,-0.02263224,-0.09690542,-0.4600948,-0.1250786,-0.08952625,-0.3128885,-0.2008293,-0.4311729,2.88124,-4.783888,2.181383,17.18233,-7.571261,0,0,0,0,0,0,0,0,0,0,0,0
0.01999999,-86.64792,-7.980483,-98.39461,-7.980483,-86.64792,98.39461,1.432667,-3003.167,0.02645374,0.001385366,0.02431501,-0.02005602,-0.09690542,-0.4600948,-0.1250786,-0.09792823,-0.325433,-0.2021953,-0.3083444,2.601926,-3.778987,2.363006,15.30004,-7.036418,0,0,0,0,0,0,0,0,0,0,0,0
0.01999999,-86.64792,-7.980483,-98.39461,-7.980483,-86.64792,98.39461,1.432667,-3003.167,0.02645374,0.001252153,0.0253711,-0.01799504,-0.09690542,-0.4600948,-0.1250786,-0.1046498,-0.3354686,-0.2032881,-0.2100815,2.378474,-2.975066,2.508305,13.79421,-6.608543,0,0,0,0,0,0,0,0,0,0,0,0
0.01999999,-86.64792,-7.980483,-98.39461,-7.980483,-86.64792,98.39461,1.432667,-3003.167,0.02645374,0.001143161,0.02623518,-0.01630878,-0.09690542,-0.4600948,-0.1250786,-0.1101493,-0.3436796,-0.2041822,-0.1296847,2.19565,-2.317312,2.627186,12.56217,-6.258464,0,0,0,0,0,0,0,0,0,0,0,0
